cluster,cluster_rank,archetype,size,avg_revenue,avg_tickets,avg_basket,avg_90d_rev,avg_categories,omnichannel_pct,avg_discount_ratio,avg_days_to_second,avg_tenure,pct_of_total,method
2,0,Premium Loyalists,3113,1130.858017989078,14.265017667844523,88.55371589727186,381.7107388371346,5.231930613556055,0.5358175393511082,0.12604752582232032,28.07805974943784,304.9106970767748,0.04828677348803301,kmeans
3,1,Discount Explorers,4913,343.6369896193772,1.7180948503969062,216.04560623742,284.6152473030735,2.2424180744962343,0.009769997964583757,0.06865619107791925,5869.180948503969,49.69305923061266,0.07620716933720083,kmeans
4,2,One-and-Done,6344,265.63927805800756,4.6476986128625475,61.04513738525565,117.73072509457755,3.251733921815889,1.0,0.09955071252482742,80.66661412358134,212.28499369482975,0.09840388403728924,kmeans
0,3,Rising Stars,24035,182.87565134179323,3.5220719783648846,53.06288774221777,92.5401518618681,2.696525899729561,0.0,0.01483014510705384,90.77690867484918,177.49531932598293,0.3728148412415269,kmeans
1,4,Omnichannel Champions,26064,56.91239295580111,1.0037599754450584,56.89892591313689,56.91239295580111,1.292510742786986,3.83670963781461e-05,0.05071924455512232,9961.424224984654,0.020219459791282996,0.40428733189595,kmeans
4,0,Premium Loyalists,1988,1213.0586267605634,17.08903420523139,74.39057495070752,355.91454728370223,5.419014084507042,0.6287726358148893,0.1287627069708647,24.399396378269618,319.34255533199195,0.030836526082303122,agglomerative
3,1,Discount Explorers,2821,288.1500425381071,1.1144984048209854,253.14582233897107,276.7283835519319,2.0613257710031903,0.0,0.09498410130593815,9489.78021978022,3.5476781283232897,0.0437574648280569,agglomerative
2,2,One-and-Done,6396,279.69506097560975,4.797529706066292,60.625173885522734,121.95874765478425,3.306441525953721,1.0,0.10483796272103284,81.00140712945591,214.49108818011257,0.09921047325070964,agglomerative
0,3,Rising Stars,27179,230.0968379999264,3.6521211229257884,63.55996116475478,120.21382170057765,2.758857941793296,0.015269141616689356,-0.0041084477612030644,113.67783950844402,176.2370212296258,0.4215824659914067,agglomerative
1,4,Omnichannel Champions,26085,57.714495687176544,1.0,57.714495687176544,57.714495687176544,1.2924285988115776,0.0,0.0750171341206377,9999.0,0.0,0.4046130698475236,agglomerative
-1,-1,Noise / Outliers,3170,919.7724321766561,8.917981072555206,136.7380462407657,401.69491167192433,4.13217665615142,0.4618296529968454,-0.3893346063901028,403.04574132492115,214.98296529968454,0.04917091935658999,dbscan
6,0,Premium Loyalists,2133,515.4192170651664,8.781528363806844,58.31451265384165,171.83590717299577,4.264885138302859,1.0,0.11031139169787273,55.488982653539615,268.3539615564932,0.03308566908126386,dbscan
3,1,Discount Explorers,933,348.0678778135048,6.687031082529475,53.24439453382598,116.51879957127545,3.5766345123258305,1.0,0.10651058542564953,58.88745980707395,264.3376205787781,0.014472071848485318,dbscan
4,2,One-and-Done,2513,247.12156386788698,4.250696378830083,60.033627828252605,115.08184241941902,3.304814962196578,1.0,0.11157585865788393,90.88539594110625,198.52686032630322,0.03897997487164374,dbscan
2,3,Rising Stars,15895,212.6843762189368,3.839131802453602,56.400455762954756,105.27197609311105,3.0722868826675054,0.0,0.02971134079597507,88.53526266121422,181.8835482856244,0.24655260667917914,dbscan
5,4,Omnichannel Champions,1018,211.27366404715127,3.6365422396856584,61.68015380229353,109.15853634577603,2.3919449901768175,1.0,0.11551551291574302,89.10805500982319,179.59332023575638,0.015790534985807132,dbscan
1,5,Quiet Regulars,10085,204.35981953396134,3.547744174516609,60.47969803269082,105.4682439266237,2.2231036192364897,0.0,0.07844876435474302,87.47823500247893,171.8797223599405,0.15643177341047634,dbscan
0,6,Category Specialists,28722,75.03484645916022,1.0,75.03484645916022,75.03484645916022,1.3545365921593204,0.0,0.07930339512494915,9999.0,0.0,0.44551644976655447,dbscan
