series,ds,y,forecast,lower,upper,model
revenue,2025-01-01,958157.69,,,,holt_winters
revenue,2025-02-01,877537.16,,,,holt_winters
revenue,2025-03-01,919324.29,,,,holt_winters
revenue,2025-04-01,894450.11,,,,holt_winters
revenue,2025-05-01,1052875.63,,,,holt_winters
revenue,2025-06-01,908014.38,,,,holt_winters
revenue,2025-07-01,950338.89,,,,holt_winters
revenue,2025-08-01,810382.09,,,,holt_winters
revenue,2025-09-01,824836.87,,,,holt_winters
revenue,2025-10-01,1034812.95,,,,holt_winters
revenue,2025-11-01,1581006.54,,,,holt_winters
revenue,2025-12-01,1960909.41,,,,holt_winters
revenue,2026-01-01,,2404033.4440036207,2188808.320504898,2619258.567502343,holt_winters
revenue,2026-02-01,,2839749.993760651,2624524.8702619285,3054975.1172593734,holt_winters
revenue,2026-03-01,,3275466.543517681,3060241.4200189584,3490691.6670164033,holt_winters
tickets,2025-01-01,16285.0,,,,holt_winters
tickets,2025-02-01,14072.0,,,,holt_winters
tickets,2025-03-01,14130.0,,,,holt_winters
tickets,2025-04-01,13993.0,,,,holt_winters
tickets,2025-05-01,15381.0,,,,holt_winters
tickets,2025-06-01,13760.0,,,,holt_winters
tickets,2025-07-01,15123.0,,,,holt_winters
tickets,2025-08-01,12603.0,,,,holt_winters
tickets,2025-09-01,12593.0,,,,holt_winters
tickets,2025-10-01,15773.0,,,,holt_winters
tickets,2025-11-01,21501.0,,,,holt_winters
tickets,2025-12-01,27935.0,,,,holt_winters
tickets,2026-01-01,,34361.28848024857,31735.032698985066,36987.54426151208,holt_winters
tickets,2026-02-01,,40878.22549493365,38251.96971367014,43504.481276197155,holt_winters
tickets,2026-03-01,,47395.162509618734,44768.90672835523,50021.41829088224,holt_winters
active_customers,2025-01-01,12489.0,,,,holt_winters
active_customers,2025-02-01,11230.0,,,,holt_winters
active_customers,2025-03-01,10869.0,,,,holt_winters
active_customers,2025-04-01,11109.0,,,,holt_winters
active_customers,2025-05-01,12074.0,,,,holt_winters
active_customers,2025-06-01,10839.0,,,,holt_winters
active_customers,2025-07-01,11906.0,,,,holt_winters
active_customers,2025-08-01,10209.0,,,,holt_winters
active_customers,2025-09-01,10208.0,,,,holt_winters
active_customers,2025-10-01,12023.0,,,,holt_winters
active_customers,2025-11-01,16052.0,,,,holt_winters
active_customers,2025-12-01,20160.0,,,,holt_winters
active_customers,2026-01-01,,24359.2410113283,22454.735013418154,26263.747009238446,holt_winters
active_customers,2026-02-01,,28606.278398179544,26701.772400269398,30510.78439608969,holt_winters
active_customers,2026-03-01,,32853.31578503078,30948.809787120637,34757.821782940926,holt_winters
