rfm_label,customers,avg_score,avg_value
Loyal,7773,76.59930528753377,340.2901530940435
Recent,7414,72.93962773131913,230.99747504720798
Potential Loyalist,6066,72.5271843059677,138.1512875041213
Need Attention,4185,71.39550776583035,98.55526403823178
Champions,4010,78.74079800498752,1023.2500024937656
Promising,2949,69.94130213631739,240.66157002373686
About to Sleep,2751,69.07906215921483,58.71137041075973
At Risk,2723,67.9294528094014,214.7673852368711
Can't Lose,111,67.76036036036035,186.50864864864863
Unknown,1,58.5,638.04
